n,room,time
87,basic,41.48
87,basic,43.56
87,basic,44.2
87,basic,42.76
87,basic,41.12
87,basic,42.28
87,basic,42.64
87,basic,42.56
87,basic,43.68
87,basic,42.88
87,basic,42.04
87,basic,42.36
87,basic,41.24
89,basic,44.0
89,basic,43.48
89,basic,42.44
89,basic,41.6
89,basic,43.96
89,basic,43.4
89,basic,42.24
89,basic,43.6
89,basic,43.6
89,basic,42.68
89,basic,43.88
89,basic,43.72
89,basic,43.84
89,basic,42.44
89,basic,43.28
89,basic,43.96
89,basic,43.0
89,basic,43.72
89,basic,43.8
89,basic,42.72
91,basic,44.68
91,basic,45.08
91,basic,45.52
91,basic,45.24
91,basic,44.96
91,basic,46.28
91,basic,45.44
91,basic,45.4
91,basic,43.28
91,basic,45.08
91,basic,44.48
91,basic,43.8
91,basic,44.76
91,basic,44.24
91,basic,44.8
91,basic,42.76
91,basic,44.08
91,basic,44.76
91,basic,45.24
91,basic,44.92
93,basic,45.76
93,basic,44.84
93,basic,44.44
93,basic,42.6
93,basic,44.56
93,basic,45.52
93,basic,45.2
93,basic,45.64
93,basic,45.0
93,basic,44.36
93,basic,45.44
93,basic,45.6
93,basic,45.24
93,basic,43.84
93,basic,45.6
93,basic,43.84
93,basic,45.36
93,basic,44.8
93,basic,44.36
93,basic,45.2
95,basic,45.6
95,basic,46.2
95,basic,46.2
95,basic,46.56
95,basic,45.6
95,basic,46.16
95,basic,46.92
95,basic,45.16
95,basic,45.12
95,basic,46.92
95,basic,46.72
95,basic,46.76
95,basic,46.8
95,basic,46.24
95,basic,47.68
95,basic,44.4
95,basic,46.08
95,basic,47.0
95,basic,45.76
95,basic,47.32
97,basic,48.72
97,basic,47.68
97,basic,46.24
97,basic,47.44
97,basic,48.48
97,basic,47.4
97,basic,46.88
97,basic,46.96
97,basic,47.96
97,basic,47.32
97,basic,46.48
97,basic,47.84
97,basic,46.36
97,basic,47.6
97,basic,47.8
97,basic,46.76
97,basic,47.64
97,basic,47.56
97,basic,48.96
97,basic,46.76
99,basic,47.72
99,basic,49.16
99,basic,48.8
99,basic,48.92
99,basic,48.32
99,basic,47.52
99,basic,48.36
99,basic,45.76
99,basic,48.04
99,basic,48.12
99,basic,50.24
99,basic,48.32
99,basic,48.4
99,basic,47.4
99,basic,49.36
99,basic,46.84
99,basic,47.64
99,basic,48.44
99,basic,47.8
99,basic,48.48
1,classroom,4.8
1,classroom,9.6
1,classroom,4.68
1,classroom,10.16
1,classroom,5.52
1,classroom,7.24
1,classroom,3.0
1,classroom,8.36
3,classroom,8.0
3,classroom,10.32
3,classroom,11.92
3,classroom,10.2
3,classroom,5.64
3,classroom,9.44
3,classroom,8.16
3,classroom,8.44
5,classroom,7.52
5,classroom,11.8
5,classroom,10.04
5,classroom,13.36
5,classroom,12.04
5,classroom,9.4
5,classroom,12.56
5,classroom,13.96
7,classroom,10.12
7,classroom,10.84
7,classroom,10.04
7,classroom,11.28
7,classroom,11.48
7,classroom,12.88
7,classroom,13.48
7,classroom,11.44
9,classroom,11.68
9,classroom,11.52
9,classroom,11.96
9,classroom,12.84
9,classroom,11.52
9,classroom,9.8
9,classroom,9.68
9,classroom,11.24
11,classroom,10.88
11,classroom,14.28
11,classroom,11.04
11,classroom,13.76
11,classroom,10.32
11,classroom,11.72
11,classroom,13.8
11,classroom,12.36
13,classroom,11.04
13,classroom,12.36
13,classroom,14.68
13,classroom,15.56
13,classroom,13.24
13,classroom,14.08
13,classroom,13.84
13,classroom,13.16
15,classroom,14.4
15,classroom,11.92
15,classroom,14.28
15,classroom,15.32
15,classroom,14.08
15,classroom,11.36
15,classroom,13.72
15,classroom,13.92
17,classroom,13.28
17,classroom,14.12
17,classroom,11.96
17,classroom,13.48
17,classroom,13.64
17,classroom,14.12
17,classroom,13.76
17,classroom,14.28
19,classroom,14.24
19,classroom,14.52
19,classroom,12.6
19,classroom,13.2
19,classroom,14.8
19,classroom,13.16
19,classroom,12.76
19,classroom,13.56
21,classroom,15.04
21,classroom,14.2
21,classroom,15.8
21,classroom,13.72
21,classroom,14.4
21,classroom,13.84
21,classroom,13.0
21,classroom,14.16
23,classroom,14.44
23,classroom,15.36
23,classroom,13.52
23,classroom,16.44
23,classroom,14.68
23,classroom,13.56
23,classroom,15.64
23,classroom,15.12
25,classroom,16.16
25,classroom,16.04
25,classroom,15.88
25,classroom,15.2
25,classroom,14.76
25,classroom,15.16
25,classroom,15.64
25,classroom,16.36
27,classroom,17.0
27,classroom,16.36
27,classroom,17.68
27,classroom,16.56
27,classroom,17.32
27,classroom,15.88
27,classroom,18.36
27,classroom,19.2
29,classroom,17.44
29,classroom,18.12
29,classroom,17.4
29,classroom,18.04
29,classroom,18.56
29,classroom,16.68
29,classroom,16.6
29,classroom,18.48
31,classroom,19.0
31,classroom,19.32
31,classroom,18.76
31,classroom,19.04
31,classroom,19.72
31,classroom,19.04
31,classroom,18.88
31,classroom,19.56
33,classroom,20.04
33,classroom,20.76
33,classroom,19.48
33,classroom,20.48
33,classroom,18.52
33,classroom,18.36
33,classroom,18.84
33,classroom,18.12
35,classroom,19.52
35,classroom,21.4
35,classroom,21.32
35,classroom,24.96
35,classroom,19.96
35,classroom,20.6
35,classroom,20.0
35,classroom,20.64
37,classroom,22.8
37,classroom,21.76
37,classroom,23.84
37,classroom,23.92
37,classroom,20.16
37,classroom,21.2
37,classroom,23.44
37,classroom,21.48
39,classroom,20.36
39,classroom,22.88
39,classroom,27.72
39,classroom,26.44
39,classroom,23.16
39,classroom,22.36
39,classroom,21.08
39,classroom,24.44
